place_id,name,latitude,longitude,restaurant_count,grocery_store_count,gym_count,cafe_count,park_count,total_amenities
56ac9283498e7cbb284553da,Shriram Suhaana Apartments,13.13456280998398,77.57264643045936,6,1,2,1,1,11
51319d59e4b04a7c6799abe4,GK Lakeview Apartment,13.114882023314767,77.56309032440184,5,0,0,1,0,6
4fec9852e4b0b42a00dde65f,bmsit boys hostel,13.139040428122907,77.56713338111022,1,1,0,0,1,3
4f58dcb6e4b0ff115978a5ba,shobha azalia,13.130488166932851,77.57282553009868,6,1,2,1,0,10
5cf2990fb3d8e2002c5c63ae,Prestige Royal Garden,13.138822,77.571338,2,1,0,0,2,5
57d3aaa5498e9102adec5e6b,Prestige Garden Bay,13.12844,77.56176,0,0,0,0,1,1
57108508498e87c71c99e96a,sobha Althea,13.12989,77.577765,1,0,0,0,0,1
4d33c4fe8c42a1cd2928f55d,Unitech Heritage Estates,13.119226156941917,77.57954715850104,2,0,1,0,1,4
4e0a3647d22da1beee0fbf9f,NCC Urban - Nagarjuna Meadows,13.117278270200178,77.57737873793441,5,0,1,1,0,7
510179dee4b0d125936769fc,PRANATHI @ Nagarjuna Meadows,13.117105478254288,77.57757507601625,5,0,1,1,0,7
